id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15702656.0,Nwora,567.0,France,Male,33.0,9.0,0.0,2.0,1.0,0.0,156792.89,0.0
1,15647965.0,Yevdokimova,628.0,France,Female,38.0,3.0,0.0,1.0,1.0,1.0,51987.99,1.0
2,15798834.0,Ch'iu,635.0,France,Female,29.0,3.0,0.0,2.0,1.0,1.0,113079.19,0.0
3,15672056.0,Hsia,681.0,France,Male,28.0,6.0,0.0,2.0,1.0,0.0,14081.64,0.0
4,15759537.0,Okwudilichukwu,587.0,France,Female,27.0,5.0,0.0,2.0,1.0,0.0,158958.9,0.0
5,15694192.0,Macleod,627.0,France,Female,43.0,7.0,125977.81,2.0,1.0,1.0,52367.29,0.0
6,15797165.0,Chukwuebuka,600.0,France,Female,37.0,3.0,0.0,2.0,0.0,0.0,107964.36,0.0
7,15590011.0,Tuan,579.0,France,Male,21.0,2.0,0.0,2.0,1.0,1.0,151401.33,0.0
8,15659327.0,Tien,614.0,France,Male,40.0,6.0,0.0,2.0,1.0,0.0,158816.03,0.0
9,15594864.0,Chukwuemeka,482.0,Spain,Male,33.0,6.0,0.0,1.0,0.0,1.0,132770.15,0.0
10,15728456.0,Clements,763.0,Spain,Male,37.0,5.0,0.0,2.0,1.0,0.0,105525.36,0.0
11,15648702.0,Ting,594.0,Spain,Female,29.0,4.0,127253.98,2.0,1.0,0.0,82868.34,0.0
12,15605375.0,Nnaemeka,676.0,Spain,Male,52.0,8.0,130274.22,1.0,1.0,1.0,63795.8,0.0
13,15628420.0,Chukwuhaenye,704.0,France,Male,35.0,3.0,91091.06,1.0,1.0,1.0,79616.37,0.0
14,15682638.0,Chukwuemeka,775.0,Spain,Female,42.0,5.0,0.0,2.0,0.0,1.0,166476.92,0.0
15,15721433.0,Lettiere,700.0,Spain,Male,40.0,2.0,126473.99,1.0,1.0,1.0,1557.82,0.0
16,15659428.0,Hsueh,589.0,Germany,Male,39.0,5.0,117020.08,2.0,1.0,1.0,154700.61,0.0
17,15813946.0,Chiawuotu,613.0,Spain,Male,32.0,6.0,0.0,2.0,1.0,1.0,66548.52,0.0
18,15806447.0,Harker,540.0,Germany,Female,42.0,2.0,120962.59,1.0,0.0,1.0,56767.67,1.0
19,15787597.0,Aksenov,637.0,France,Male,31.0,4.0,141038.57,1.0,1.0,0.0,91510.61,0.0
20,15665629.0,Ch'ien,647.0,France,Male,39.0,5.0,0.0,2.0,1.0,0.0,147055.87,0.0
21,15800517.0,Tardent,585.0,France,Male,35.0,1.0,0.0,2.0,1.0,1.0,161845.81,0.0
22,15572626.0,P'eng,589.0,France,Female,31.0,9.0,0.0,2.0,1.0,0.0,53817.23,0.0
23,15752294.0,Ewing,645.0,France,Female,52.0,9.0,116498.22,3.0,1.0,0.0,86937.2,1.0
24,15747807.0,Ikedinachukwu,607.0,France,Male,27.0,1.0,141787.31,1.0,0.0,1.0,132673.15,0.0
25,15619083.0,Kao,824.0,France,Male,34.0,4.0,0.0,2.0,1.0,0.0,71823.15,1.0
26,15608595.0,Houghton,686.0,Spain,Female,29.0,5.0,140931.97,1.0,1.0,0.0,173629.78,0.0
27,15581253.0,Trevisano,718.0,France,Female,51.0,7.0,96950.21,1.0,1.0,0.0,169781.45,1.0
28,15745078.0,Folliero,850.0,Spain,Female,39.0,8.0,0.0,2.0,1.0,0.0,67552.71,0.0
29,15583681.0,Pinto,582.0,France,Male,38.0,7.0,0.0,2.0,1.0,0.0,62232.6,0.0
30,15616172.0,H?,576.0,France,Female,38.0,5.0,0.0,2.0,0.0,1.0,145562.4,0.0
31,15574765.0,Fiorentini,547.0,Germany,Female,41.0,2.0,65812.52,2.0,1.0,1.0,173498.45,0.0
32,15696900.0,Ch'in,663.0,France,Female,50.0,1.0,0.0,1.0,0.0,0.0,53329.7,1.0
33,15746258.0,Chukwudi,613.0,France,Male,29.0,1.0,0.0,2.0,0.0,0.0,68987.55,0.0
34,15759915.0,Trevisan,548.0,France,Male,33.0,1.0,79974.55,1.0,1.0,1.0,180698.32,0.0
35,15582914.0,Chukwualuka,750.0,Spain,Male,29.0,7.0,0.0,2.0,0.0,1.0,166586.99,0.0
36,15658475.0,Cremonesi,711.0,France,Female,37.0,8.0,0.0,2.0,1.0,0.0,130664.79,0.0
37,15771543.0,Nnamutaezinwa,573.0,France,Male,32.0,8.0,0.0,2.0,1.0,0.0,159840.53,0.0
38,15749265.0,Brown,634.0,Spain,Male,28.0,4.0,0.0,2.0,1.0,0.0,1801.77,0.0
39,15793883.0,Cattaneo,632.0,Germany,Male,35.0,7.0,124577.33,2.0,1.0,1.0,172495.81,0.0
40,15647570.0,Maclean,644.0,France,Male,38.0,2.0,0.0,2.0,1.0,1.0,121525.48,0.0
41,15592765.0,Tsao,643.0,France,Female,21.0,9.0,105799.32,1.0,1.0,0.0,73881.68,0.0
42,15731669.0,Smith,762.0,Spain,Male,52.0,6.0,0.0,2.0,1.0,1.0,44363.42,0.0
43,15592300.0,K'ung,474.0,Germany,Male,28.0,1.0,92310.54,2.0,0.0,0.0,104721.5,0.0
44,15713479.0,H?,722.0,Spain,Male,44.0,1.0,122453.97,1.0,0.0,0.0,134720.51,1.0
45,15604020.0,Lo,729.0,Spain,Male,53.0,4.0,0.0,2.0,1.0,1.0,136902.01,0.0
46,15689201.0,Hsia,653.0,Spain,Female,24.0,8.0,0.0,2.0,1.0,1.0,147545.65,0.0
47,15732903.0,Watson,731.0,Germany,Female,51.0,8.0,114753.76,2.0,1.0,0.0,139946.68,1.0
48,15716276.0,Phelan,663.0,France,Male,68.0,1.0,118889.66,1.0,1.0,0.0,125222.36,1.0
49,15763065.0,P'eng,577.0,France,Male,38.0,0.0,0.0,2.0,0.0,0.0,51670.82,0.0
50,15643673.0,T'ang,685.0,Spain,Female,42.0,9.0,0.0,1.0,1.0,1.0,90927.48,0.0
51,15762928.0,Chukwuhaenye,632.0,Spain,Female,32.0,3.0,0.0,2.0,1.0,0.0,175092.4,0.0
52,15595588.0,Chukwualuka,592.0,Germany,Female,55.0,8.0,131834.76,1.0,1.0,1.0,147964.99,1.0
53,15777892.0,Smith,685.0,France,Female,34.0,8.0,115101.5,1.0,1.0,1.0,142995.32,0.0
54,15748597.0,Cattaneo,573.0,France,Male,29.0,8.0,0.0,2.0,1.0,0.0,116547.76,0.0
55,15579914.0,Kuo,543.0,France,Male,57.0,8.0,0.0,1.0,1.0,1.0,75825.57,1.0
56,15571843.0,Chukwubuikem,721.0,France,Female,31.0,2.0,0.0,2.0,1.0,0.0,142238.54,0.0
57,15623502.0,Chukwukere,595.0,France,Female,30.0,3.0,0.0,2.0,1.0,0.0,126475.79,0.0
58,15781530.0,Pinto,667.0,France,Female,35.0,1.0,0.0,2.0,0.0,0.0,189703.65,0.0
59,15679804.0,K'ung,595.0,France,Female,32.0,4.0,0.0,2.0,0.0,0.0,142956.48,0.0
